ID,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15
9292,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9293,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9294,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9295,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9296,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9298,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
9299,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9303,0.125,0.375,0,0,0.125,0,0,0,0.25,1.25,0.125,0,0,0.25,0
9305,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
9306,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9307,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9308,0,0,0,0,0,0,0.5,0,0,0.125,0,0,0,0,0
9309,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9311,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9312,0.125,0,0,0,0,0,0,0.625,0.875,0.375,0.125,0,0,0,0
9313,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9314,0,0,0,0,0,0,0.5,0.75,0,0.625,0,0,0,0,0
9315,0,0,0,0.125,0,0,0,0,0,0.5,0,0,0,0.375,0.25
9316,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25
9317,0.5,0,0,0.625,0,0,0.5,1.75,1.375,0.625,1.25,0,0,0,0
9318,2.75,11.625,3,6,3.375,10.375,3.75,6.75,4.25,4.875,2.25,3.571428571,4.375,10.5,5.125
9319,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9320,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9321,0.375,0.375,0,0.375,0,0.125,0.125,0,0,0.75,1.25,0.142857143,0,0.375,0
9322,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9323,0,0.25,0,0,0.625,0,0,0,0,0.625,0.125,0,0,0,0
9324,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9325,0,0.25,0,0.125,0,0,0,0,0,0.125,0.375,0,0,0,0
9327,0,0,0,0,0.125,0,0,0,0,0.5,0,0,0,0,0
9328,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9329,1,0,0.5,2.25,0,0.625,0,0,0.625,1.125,0.75,0,0,0.25,1.5
9330,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9331,0.5,0.25,0,0.375,0.5,0,0.375,0,0.25,0,0.375,0,0.375,0,0
9333,0.25,0,0,0,0.25,0,0,0.125,0.625,0,0,0,0,0.375,0
9335,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9336,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9337,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9338,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9340,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9342,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0
9343,0,0.5,0,0.625,0.75,0.375,1,1.625,0.875,0.625,0,0,1.625,0.125,0.625
9344,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9345,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9346,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9349,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9350,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9351,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9353,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9354,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9356,0,0.25,0,0.5,0,0,0,0.625,0,0.75,0.5,1,0.25,0,0.5
9357,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9359,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9360,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9361,0,0,0,0,1,0,0,0.625,0,0.25,0,0.857142857,0,0,0
9368,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
9369,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0
9370,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9371,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9374,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9375,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9376,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9377,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9378,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9380,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9382,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9383,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9385,0,0.5,0.125,0,0.625,1,0.25,0.125,0,0.25,0,0.857142857,0,0.875,0.5
9386,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9387,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9388,0,0,0,0,0,0,0,0,0.375,0.125,0,0,0.75,0.375,0
9389,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9391,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9392,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9394,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9395,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9396,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9398,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9399,0,0,0,0,0,1,0,0,0,0.25,0,0,0,0,0.5
9401,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9402,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9403,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9405,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9407,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9408,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9409,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9410,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9411,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9412,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9413,0.125,0.125,0,0.125,0.625,0,0.125,0,0.125,0.125,0.25,0,0.25,0.25,0
9414,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9415,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9416,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0
9417,0,0.375,0,0,0,0,0.375,0,0.25,0.625,0,0.142857143,0.125,0,0.375
9418,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9419,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.125,0
9420,0,0.25,0.125,0,0,0,0,0,0,0.25,0,0,0,0,0
9421,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9422,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9423,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9425,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9426,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9428,0,0,0,0.375,0,0.625,0,0.25,0,0.25,0,0.571428571,0,0,0
9429,0.25,0.125,0.625,0.625,0.25,0,1.25,0.25,0.625,1.125,1,1.285714286,2.375,2.125,0.75
9430,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9431,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9432,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0.25,0.125
9434,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9435,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9436,0.25,0.125,0,0.875,0.625,0.375,0,1.125,0.75,0.375,0.625,1.142857143,0,0.5,0.25
9437,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0
9438,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9440,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9442,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0.125,0
9443,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9444,0,0.375,0.125,0.125,0.5,0,0,0.125,0,0,0,0,0.125,0.25,0
9446,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9451,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9452,0,0,0,0.125,0,0.125,0,0,0.25,0.25,0,0,0,1.125,0
9453,0,0,0.125,0,0,0,0,0,0,0.125,0,0,0,0,0
9454,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9455,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9456,0,0,0.125,0,0,0,0,0,0,0.125,0,0,0.5,0,0
9458,0.5,0,0,0,0.625,0,0,0,0.125,0.125,0,0,0,0.125,0
9459,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9460,0,0,0,0,0,0,0,0.5,0.875,0.25,0,0,0,0,0
9461,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9462,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9463,0,0,0.25,0,0.5,0,0.125,0,0,0.25,0,0,0.5,0,0
9464,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9465,0,0,0,0,0,0,0.375,0,0,0.125,0,0,0,0,0
9467,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9468,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9470,0,0.25,0,0,0,0.5,0.25,0.5,0,0.75,0.25,0,0,0.375,0
9473,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9474,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9476,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9478,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9482,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9483,0,0,0,0.375,0,0,0,0,0,0.5,0,0,0,0.375,0
9486,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9488,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9489,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9490,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9491,0,0,0,0,0,1.125,0,0,0,0.125,0.25,0,0,0,0
9492,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9493,0,0,0.125,0.25,0,0.25,0,0,0,0,0,0,0,0.375,0
9494,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9495,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9496,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9497,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
9498,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9499,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9500,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
9502,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
9503,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
9504,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9505,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
9506,0,0,0,0,0.25,0,0,0.25,0,0.25,0,0.285714286,0,0,0.375
9509,0,0.125,0,0,0,0,0.375,0,0,0.125,0,0,0.5,0,0
9510,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9511,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9514,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9515,0,0,0,0,0,0.25,0,0,4.25,0.375,0,0,0,0,0
9516,0,0.125,0,0,0.25,0,0,0,0.125,0.25,0,0,0.25,0,0
9517,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9518,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9519,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9520,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9522,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9526,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9529,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9530,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9531,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9532,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9533,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9535,0,0.25,0.5,0.625,1.375,0.875,0.625,0.625,0,1,0.125,0.571428571,0,0,0.5
9536,0.375,0,0,0.625,0,2,0.125,0.25,0.25,0.5,0.25,0,0,0,0
9537,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.25,0
9539,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9544,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9545,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9548,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9549,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9550,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9552,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9559,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9560,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9561,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9562,0.375,0.25,0,0.25,0.375,0,0.5,0,0,0,0,0,0,0,0
9564,0,0,0,0.5,0.125,0.625,0,0,0,0.125,0,0,0,0,0
9565,0.5,1.125,0.25,0,0.375,0.25,0,0,0,0.375,0,0,0,0.75,0
9566,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9567,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9568,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9570,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9571,0,0,0,0,0.25,0,0,0,0,0.25,0,0.285714286,0,1.375,0
9572,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
9573,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9576,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9577,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9579,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9580,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9581,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0.125,0
9584,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9586,3.5,1.25,0,1.25,1.25,2.125,0.625,0.75,0.125,0.625,0.875,0.285714286,1.25,0.625,0.25
9587,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9589,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9590,0,0,0,0,0,0,0,0,0,0.875,0,0,0,0,0
9593,0,0,0,0.25,0,0,0,0,0,0.25,0,0.428571429,0,0,0
9594,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9597,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9598,0,0,0.125,0.125,0.625,0,0.25,0.25,0,0.25,0,0,0,0,1.125
9599,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9602,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9604,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9610,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9611,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9612,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9613,0.125,0,0,0,0,0,0,0,0,0.25,0.125,0,0,0,0
9614,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9615,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9616,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9617,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9618,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9621,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9622,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9623,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9625,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9627,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9628,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
9629,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9631,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9632,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9633,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9634,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9635,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9636,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9637,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9638,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9639,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9643,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9644,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9645,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9647,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9649,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9650,0,0,0,0,0,0,0,0,0.5,0.375,0,0,0,0,0
9651,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9652,0,0.875,0,0.375,0.5,1,0.25,0,0,0.125,0.375,0,0,0,0
9653,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9655,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9657,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9658,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9662,0.375,0.5,0.375,0.375,0.125,0.375,0,0.25,0,0.5,0,0.857142857,0.125,0,0.25
9663,0.375,1.125,0.5,1.125,0.5,2,1.5,0.5,0.375,1.75,0.125,0.571428571,0,3.25,0.25
9664,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9665,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9666,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0.25,0.375
9667,0,0,0,0,0,0,0,0,0.5,0.125,0,0,0,0,0
9668,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9669,0.25,0,0,0,0,0,0,0.25,0,0.25,0.125,0,0,0,0
9670,0,0.25,0,0,0,0,0,0.5,0,0.125,0,0,0,0,0.25
9671,0.25,0.375,0,0.25,0.875,0,0,0,0.375,0.125,0,0.428571429,1.25,0.625,0
9672,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9673,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9674,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9676,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9677,0,0.375,0,0,0,0.375,0,0.375,0.875,0.375,0.25,0,0,0,0
9678,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9681,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9683,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9684,0,0.125,0,0,0,0,0,0,0,0.125,0,0,0.375,0,0
9688,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9689,0,0.125,0.375,0,0,0,0,0,0,0.25,0,0,0,0,0
9691,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9693,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9694,0.25,0.5,0,0.125,0,0,0,0,0,0.125,0.25,0.142857143,0.25,0,0.375
9697,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0
9698,0,0,0,0.25,0.375,0.5,1,0.5,0.25,0.5,0.375,0,0.625,0,1.25
9699,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9700,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9702,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9703,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9704,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9705,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9706,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9708,0,0,0,0,0,0,0,0.125,0,0.125,0,0,0,0,0
9709,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9710,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9712,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9713,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9716,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9717,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9718,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9719,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9722,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9723,0.125,0.625,0,0,0.25,0,0,0,0,0.625,0,0,0,0.125,0
9724,0,0.125,0,0.375,0.875,0,0,0,0,0.25,0.375,0,0.375,0.375,0
9725,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9727,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9728,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9729,0,0,0,0,0,0,0,0,0,0.125,0,0,1,0,0
9730,0,0,0,0,0,0,0.25,0,0,0.375,0,0,0,0,0
9732,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9733,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9735,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9739,0.125,0.125,0.125,0.25,0.25,0.375,0.5,0.125,0.375,0.25,0.625,0.285714286,0,0,0
9740,2.375,2.125,0.25,1.625,0.375,1.75,1.5,1,3.375,0.25,0,3.571428571,0.75,5,0.375
9741,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
9743,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9744,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0
9745,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9746,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9747,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9748,0,0,0.25,0,0,0,0,0.125,0.125,0,0,0.142857143,0.375,0.125,0
9749,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0.5,0
9750,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9751,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9752,0.625,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
9753,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9755,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0
9756,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9757,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9758,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9759,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9760,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9761,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9762,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9764,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9765,0.125,0,0,0.25,0,0.875,0,0.5,0.875,0,0,0,0,0.125,0
9766,0.625,0,0,0.5,0,0,0.125,0.375,0.125,1.125,0.25,0,0.125,0.5,0
9767,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9770,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9772,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9773,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9774,0,0,1,0,0,0,0,0,0,0.125,0,0,0,0,0
9777,0,0,0,0,0,0,0.125,0,0,0.25,0,0,0,0,0
9778,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9779,1.125,0.875,2.375,0.375,1.375,1.25,1.5,0,1.25,0.25,0,0.857142857,0,0,0.625
9780,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9781,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9782,0,0,1.125,0,0,0,0,0,0,0.125,0,0,0.625,1,0.5
9783,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
9784,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0
9786,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9787,0,0,0,0,0,0,0,0,0,0.875,0,0,0,0,0
9789,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9793,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9795,0,0,0,0,0,0,0,0,0,0,0,0.571428571,0,0,0
9796,0,0.375,0,1,0,0,0,0,0,0.25,0,0,0,0,0
9797,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9799,0,0.5,0,0.25,0,0.5,1,0,0,0.25,0,0,0,0,0
9800,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9801,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9802,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9803,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9804,0.75,0,7.75,0.375,3.75,0.5,2.875,4.125,0.875,2.375,0.75,2.285714286,0.375,1.625,0
9805,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0
9806,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9807,0,0,0,0.25,0,0,0.25,0,0,0.125,0,0,0,0,0
9809,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9810,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0
9811,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9814,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9815,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9816,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0
9818,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9821,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
9822,0,0,0,0,0,0,0,0.125,0.125,0.125,0,0,0.125,0.125,0
9827,0.5,0,0,0.75,0,0.5,0.875,0,0,0.875,0.125,0.428571429,0.625,0,0
9829,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0
9832,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
9833,0,0,0.125,0,0,0,0,0,0,0.125,0,0,0,0,0
9835,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0
